Name,Score
mustard,0
sesamese,2
mostard,23
lol,1
uwu,0
koyo,2
helo,8
kaya,0
jiro,4
unyx,1
sir roland,2
diana,3
diana,0
diana,2
OMUSHIRO,2
OMUSHIRO,2
yyyyyyy,0
uuuuuuu,0
haiya,1
aaaaaaaaa,3
halp,3
oho,1
pokemon,1
pokemon,1
pokemon,1
pokemon2,2
pokemon3,0
anvita,1
anvita,1
chimken,7
anvita,2
anvita,3
anvita,1
anvita,3
anvita,4
anvita,2
anvita,2
anvita,2
anvita,3
chimken,7
anvita,3
anvita,2
rero,5
pm,0
pm,2
pm,2
pm,2
gg,3
last,6
asop,2
qwer,2
asd,0
asd,1
nice,17
yeee,1
doesthiswork,0
FloopyBirb,5
FloopyBirb,0
wooo,0
RedSus,0
RedSus,61
asdgygajh,0
asdgygajh,0
qwer,2
qwr,4
qwr,1
drg,5
sgsefg,21
sdgsd,2
jhkguyhk,1
yem,3
okok,3
realgems,4
iwork,16
aaaaa,0
asdasdasdasd,1
asdasd,5
flOOpy,10
flOOpy,2
flOOpy,3
asdasdasdas,68
